en	kr
Performance evaluation of optical flow algorithms at the boundaries of object	객체의 경계부근에서의 광류 기법의 성능 평가
In the first experiment, the same collected data was assumed as a single server state and a multiple server state, and compared and analyzed.	첫 번째 실험에서는 동일한 수집 데이터에 대해 단일 서버 상태와 복합 서버 상태로 가정하고 비교분석하였다.
CNN-based Road Surface Extraction from Black Box video for Road Crack Detection	블랙박스 영상으로부터 도로결함정보 검출을 위한 합성곱 신경망 기반 도로 노면 추출
Expansion of Word Representation for Named Entity Recognition Based on Bidirectional LSTM CRFs	Bidirectional LSTM CRF 기반의 개체명 인식을 위한 단어 표상의 확장
Recurrent Neural Network Based Distance Estimation for Indoor Localization in UWB Systems	UWB 시스템에서 실내 측위를 위한 순환 신경망 기반 거리 추정
The IoT device-based sensor data used in this study is free from private issue because it does not require identification for individuals, and can be effectively utilized to build intelligent public services for unspecified people.	본 연구에서 사용된 IoT 기기 기반 센서 데이터는 개인 식별이 필요 없어 사적 문제에서 자유롭고, 불특정 다수를 위한 지능형 공공 서비스 구축에 효과적으로 활용할 수 있다.
Improving Learning Performance of Kernel Adatron using the Dynamic Moment	동적모멘트를 이용한 Kernel Adatron의 학습 성능 향상
The Prediction of PM2.5 in Seoul through XGBoost ensemble	XGBoost 앙상블에 의한 서울시 초미세먼지 예측
As a result, the constrained forecast combination showed more accurate prediction performance than the predicted values of the machine learning methods, and in particular, the stability of the prediction performance of the constrained forecast combination was higher than that of other machine learning methods.	분석결과, 예측조합 방법에 따른 예측값은 머신러닝 기법의 예측값들보다 실제의 산업 고용비중에 근접한 것으로 나타났으며, 머신러닝 기법의 예측값들이 큰 변동성을 보이는 것과 달리 제약하의 예측조합 기법은 안정적인 예측값을 나타내었다.
SMT Defect Classification by CNN and Input Image Transform	입력영상 변환에 의한 CNN 기반의 SMT 부품 결함 분류 방법
Speech-Act Analysis System Based on Dialogue Level RNN-CNN Effective on the Exposure Bias Problem	노출 편향 문제에 효과적인 대화 단위 RNN-CNN 기반의 화행 분석 시스템
An Automatic Inspection System for Binary Patterned Objects by Using A Computer Vision System	컴퓨터 비전시스템을 이용한 이진 패턴형상의 자동 검사장치 개발
The input variables of the proposed method used solar irradiance, forecast air temperature, clearness index, normalized discrete difference and past solar power generation.	제안된 태양광 발전량 예측 모델의 입력변수는 일사량, 예보기온, 대기청명도. Normalized Discrete Difference 및 과거 발전량을 이용하였다.
The Power Line Defection Detect System using Computer Vision	컴퓨터 비전을 사용한 송전선 늘어짐 감지 시스템
This study proposes a target recognition method which differs from the existing surveillance reconnaissance systems.	본 연구의 시스템은 기존의 감시 정찰 시스템과는 다른 방식의 거동수상자(target) 인식 방법을 제안하고 있다.
Performance Evaluation of CNN based Learning Model for Intuitive Perception of Front Road-view	CNN 기반 전방 Road-view의 직관적 상황인지 가능한 학습 모델 및 성능평가
Machine Learning Approach for Detecting and Classifying Network Intrusions from Unauthorized Users	비인가된 사용자로부터의 네트워크 침입 탐지 및 분류를 위한 기계 학습 접근법
A Study On Memory Optimization for Applying Deep Learning to PC	딥러닝을 PC에 적용하기 위한 메모리 최적화에 관한 연구
Hypernetwork-based Natural Language Sentence Generation by Word Relation Pattern Learning	단어 간 관계 패턴 학습을 통한 하이퍼네트워크 기반 자연 언어 문장 생성
Total Production System Improvement and Automation	총합적 생산시스템 개선 및 자동화
Health Diagnosis Method for Journal Bearing Rotor Systems using Deep Learning Technique	딥러닝 기술을 활용한 저널베어링 로터시스템 진단 기법 개발
Third, life as understood today cannot be measured at the individual level, but it is a global terrestrial network or system that is distributive, parallel and complex.	셋째, 오늘날 새롭게 이해하는 생명은 개체 단위가 아니라 분산적이고 병렬적이고 복합적인 전지구적 시스템이다.
This study would examine the validity of the result of an analysis of the evaluation of general high school students’ reading comprehension, utilizing a cognitive diagnosis model through an artificial neural network and implement machine learning of an artificial neural network model.	본 연구는 인지진단모형(Cognitive Diagnosis Model)을 활용한 일반계 고등학생의 독해 평가 분석 결과를 인공신경망을 통하여 그 타당성을 검토하고, 나아가 인공신경망 모형의 머신러닝(Machine Learning)을 구현해보고자 하였다.
The proposed energy-efficient reconfigurable CNN accelerator using filter decomposition technique shows improved data throughput over existing RS dataflow-based CNN accelerator as well as high energy efficiency.	제안된 필터 분해 기법을 이용한 에너지 효율적 재구성형 CNN 가속기 구조는 높은 에너지 효율뿐만 아니라 기존 RS 데이터 흐름 기반 CNN 가속기 보다 향상된 데이터 처리율을 보여준다.
Validation of the Wearable Physical Activity Tracker with Machine Learning	기계학습을 적용한 신체활동 웨어러블 디바이스의 정확성 검증
This feature of Hangul is an advantage when processed in machine language.	한글의 이런 특징은 기계어로 처리할 때 장점이다.
EEG Singnal Prediction by using State Feedback Real-Time Recurrent Neural Network	신경회로망 컴퓨터에 의한 음성인식에 관한 연구
Text Classification and Application of Fusion of Deep Learning	딥러링 융합을 이용한 텍스트 분류 및 응용
A Fast Computational Algorithm and Performance Measurements for the Modified Cosine Transform	MCT의 고속계산 알고리즘과 성능 측정
However, the probability of detecting counterfeit money to the general public is extremely low and the detection device is expensive.	하지만 일반인이 이를 판별하는 비율은 낮은 수준이며 판별 기기 도 고가이다.
A Study on Design Representation by Virtual Reality	가상현실에 의한 디자인 표현방법연구
Study on Cochlodinium polykrikoides Red tide Prediction using Deep Neural Network under Imbalanced Data	신경망을 이용한 TCS 시스템에 관한 연구
The detected tongue cracks can be used to examine whether there are abnormalities in the organ corresponding to each part of the tongue.	검출된 설열은 혀의 각 부위와 대응되는 장기에 이상이 있는지를 검사하는데 활용될 수 있다.
Development of the Computer Vision based Continuous 3-D Feature Ectraction System via Laser Structured Lighting	레이저 구조광을 이용한 3차원 컴퓨터 시각 형상정보 연속 측정 시스템 개발
The CNN used is VGG-16, which provides a 97 % accuracy.	사용된 CNN은 VGG-16이며, 97%의 정확도를 확보했다.
A Study on the Prototype Learning	Prototype Learning 에 關한 硏究
Sentimatal analysis on urban regeneration policy: Focused on reviews of Gamcheon culture village	도시재생정책에 대한 감성분석: 감천문화마을 방문객 리뷰를 중심으로
In this paper, we propose a complex-valued support vector machine (SVM) classifier which process the complex valued signal measured by pulse doppler radar (PDR) to identify moving targets from the background.	본 논문에서는 정지하고 있는 배경에서 움직이는 목표물을 식별하기 위해 PDR(pulse doppler radar)을 이용하여 수집한 복소수 신호를 처리하는 복소수 SVM(support vector machine)을 제안한다.
V-gram: Malware Detection Using Opcode Basic Blocks and Deep Learning	V-그램: 명령어 기본 블록과 딥러닝 기반의 악성코드 탐지
Smart toothbrush: Real-time toothbrushing pattern measurement using RNN	RNN 을 활용한 실시간 양치 패턴 측정
Recently, Internet of Things(IoT) and deep learning techniques have affected video surveillance systems in various ways.	최근 IoT 및 딥러닝 기술들이 영상보안감시시스템에서도 다양하게 응용되고 있다.
A Study on Dynamic Hand Gesture Recognition Using Neural Networks	신경회로망을 이용한 동적 손 제스처 인식에 관한 연구
In particular, the SE-ResNet-50 model, which is a SE-ResNet algorithm with 50 hierarchical structures, showed the most effective result for identifying beauty-related skin diseases with an average accuracy of 96.2%.	특히 50개의 계층 구조를 갖는 SE-ResNet-50 모델이 평균 96.2%의 정확도로 미용 관련 피부질환 식별을 위해 가장 효과적인 결과를 보였다.
Implementation of POI search Algorithm using Deep Learning	딥러닝을 이용한 POI 검색 알고리즘 구현
Traditional process monitoring focused on the elapsed execution state of a particular process instance.	기존의 프로세스 모니터링은 특정 프로세스 인스턴스의 경과된 실행상태에 초점을 두었다.
In order to demonstrate the superiority of the predictive performance of the proposed model in this paper, it is compared with previous studies through event log data of actual companies provided by 4TU.Centre for Research Data.	본 논문에서 제안된 모델의 예측 성능 우수성을 입증하기 위해서 4TU.Centre for Research Data에서 제공하는 실제 기업의 이벤트 로그 데이터를 통해 선행연구들과 비교평가 한다.
Recent Trend of Biomedical Image Classification Methods	의생명 이미지 분류 기법의 최신 동향
CNN-based path labeling and slag removal path estimation for automation of deslagging task	디스래깅 작업의 자동화를 위한 CNN기반 경로 라벨링 및 슬래그 제거 경로 추정
Also, based on the derived learning algorithm, we propose an Open API for developing and verifying a recommendation model.	또한, 도출된 학습 알고리즘을 기반으로 추천 모델 개발과 검증을 위한 Open API를 제안한다.
A Study on the Applicability of Deep Learning Algorithm for Detection and Resolving of Occlusion Area	영상 폐색영역 검출 및 해결을 위한 딥러닝 알고리즘 적용 가능성 연구
It is very difficult for those traditional approach to handle such issues because it is impossible to register all existing unit nouns into the dictionary such as proper nouns, coined words, and foreign words in advance.	고유명사, 신조어, 외래어 등 기존의 모든 단위 명사를 사전에 등록하는 것은 불가능하기 때문에 이런 기존의 접근법은 이러한 문제를 다루기가 매우 어렵다.
Development of a Quantitative Algorithm for Cucumber Grading	오이 선별을 위한 정량화 알고리즘 개발
However, many studies have not achieved satisfactory performance due to various factors affecting object identification and detection.	그러나 많은 연구들은 물체 식별과 검출에 영향을 미치는 여러 가지 요인에 의해 만족스러운 성과를 거두지 못하고 있다.
Depth Map Estimation Model Using 3D Feature Volume	3차원 특징볼륨을 이용한 깊이영상 생성 모델
Recent astronomical survey observations have produced substantial amounts of data as well as completely changed conventional methods of analyzing astronomical data.	최근의 탐사 천문학 관측으로부터 대용량 관측 자료가 획득되면서, 기존의 일상적인 자료 분석 방법에 큰 변화가 있었다.
Flight Control of Tilt-Rotor Airplane In Rotary-Wing Mode Using Adaptive Control Based on Output-Feedback	출력기반 적응제어기법을 이용한 틸트로터 항공기의 회전익 모드 설계연구
Inputting source text that contains incorrect spelling, imprecise phrases, and non-grammatical sentences will, of course, increase the probability of error.	틀린 맞춤법이나 구문, 비문 등이 포함된 원천 텍스트를 입력하면 당연히 오류의 확률이 더 높아진다.
Performance Improvement of Cardiac Disorder Classification Based on Automatic Segmentation and Extreme Learning Machine	자동 분할과 ELM을 이용한 심장질환 분류 성능 개선
Analysis of Analog Gauge Information	아날로그 게이지 정보 해석
CNN based feature augmentation for SVM classifier	SVM 분류기를 위한 CNN 기반의 특징 보강
Third, the social science approach is needed in addition to the engineering approach as the existing study trend.	셋째, 기존 연구 경향과 같은 공학적 접근 외에 사회과학적 접근의 연구가 필요하다.
A Label Inference Algorithm Considering Vertex Importance in Semi-Supervised Learning	준지도 학습에서 꼭지점 중요도를 고려한 레이블 추론
Detection method of objects with a special pattern in satellite images using Histogram Of Gradients (HOG) feature and Support Vector Machine (SVM) classifier	Histogram Of Gradients (HOG) 피쳐와 Support Vector Machine (SVM) 분류기를 이용한 위성영상에서 관심물체 탐색 방법
Development of Galaxy Image Classification  Based on Hand-crafted Features and Machine Learning	Hand-crafted 특징 및 머신 러닝 기반의 은하 이미지 분류 기법 개발
We also experiment with the exposure bias problem.	노출 편향 문제에 대해도 실험한다.
Resizing effect of image and ROI in using control charts to monitor image data	이미지 데이터를 모니터링하는 관리도에서 이미지와 ROI 크기 조정의 영향
Study on Golbal Challenges and State of the Art for Visual Information Understanding	시각 정보 이해를 위한 글로벌 도전 사례 및 기술 수준 분석
Study on Hierarchical Convolutional Neural Network Structure and Random-Label using Automatic Image Recognition Modeling Tool	자동 영상인식 모델생성도구를 이용한 계층적 CNN 구조와 랜덤 레이블에 관한 연구
In this paper, we have proposed a remote control system that support data collection, monitoring, and control for manufacturing equipment to support the construction of CNC cutting machine based small-scale smart factory.	CNC 절단기 기반의 소규모 스마트 팩토리 구축을 위해서 본 논문에서는 기존 제조 장비의 데이터를 수집, 모니터링 및 제어할 수 있는 원격 제어 시스템을 제안한다.
Predict DGPS Algorithm using Machine Learning	기계학습을 통한 예측 DGPS 항법 알고리즘
The proposed methodology proved to extract information effectively from various types of unstructured documents compared to the baseline model.	연구결과 제안된 모델이 베이스라인 모델에 비해, 다양한 형태의 비정형 문서에서 정보를 효과적으로 추출함을 입증하였다.
Some of the advantages associated with the kids videos include omnibus style, simple/explicit storyline in short, chronological narrative order, and relatively limited number of characters and spatial environments.	키즈 비디오와 관련된 장점으로는 옴니버스 스타일, 간략한/명시적인 줄거리, 연대기적 서술 순서, 비교적 제한된 수의 캐릭터와 공간 환경 등이 있다.
In this context, some researches have been made to apply CNN(Convolutional Neural Network) to the field of fire detection.	이러한 맥락에서 몇몇 연구들은 화재 감지 분야에 CNN(Convolutional Neural Network)을 적용하는 시도를 하고있다.
Locational classification according to GPS density was implemented in order to distinguish other people in populated areas in the processing of GPS.	GPS의 처리과정에서 인구밀집지역의 타인을 세밀하게 구분하고자 GPS 밀도에 따른 지역구분을 시행하였다.
For the modification of the conventional MFCC, DCT(Discrete Cosine Transform) is removed, Wiener filter is added and the filterbank is modified.	변형 MFCC는 기존 MFCC에서 DCT(Discrete Cosine Transform)를 제거하고 Wiener 필터를 추가한 변형된 필터뱅크를 사용한다.
Further, the broader and more systematic studies, on the performance process of gifted students based on the gender, should be carried out.	나아가 성별에 따른 영재학생의 수행과정에 대한 보다 폭넓고 체계적인 연구가 이루어져야 할 것이다.
Automatic Pertussis Diagnosis model using cough sound	기침 소리를 이용한 백일해 진단 모델 개발
Exploratory Research on Automating the Analysis of Scientific Argumentation Using Machine Learning	머신 러닝을 활용한 과학 논변 구성 요소 코딩 자동화 가능성 탐색 연구
Design and Implementation of Malicious URL Prediction System based on Multiple Machine Learning Algorithms	다중 머신러닝 알고리즘을 이용한 악성 URL 예측 시스템 설계 및 구현
In particular, the estimation of the clamping force in bolts is important in the transportation and construction industries.	특히 수송 산업, 건축 산업 등에서 볼트부의 체결 상태를 측정하는 이슈가 점차 대두되고 있다.
Design of a Background Image Based Multi-Degree-of-Freedom Pointing Device	배경영상 기반 다자유도 포인팅 디바이스의 설계
However, most quantization techniques are not hardware-friendly methods were used, such as using a floating-point scale factor to maintain performance.	하지만 대부분의 양자화 기법은 성능을 유지하기 위해 부동 소수점 스케일 인자를 사용하는 등 하드웨어 친화적이지 않은 방법들이 사용되었다.
Machine learning can greatly improve the efficiency of work by replacing people.	머신 러닝은 인력을 대체함으로써 업무 효율성을 크게 높일 수 있다.
As a result, research on artificial intelligence has been accelerated, drawing attention to methods for efficient artificial intelligence research.	그에 따라 인공지능의 연구도 가속화되어 효 율적인 인공지능 연구를 위한 방법 또한 주목 받고 있다.
SOC estimation algorithm for Li-ion batteries using RNN and Kalman filter	RNN 과 칼만필터를 이용한 리튬 이온배터리의 SOC 추정 알고리즘
A Study on the Predicting of Welding Residual Stresses Prediction and the Selection of Optimal Welding Condition using Neural Network	알파고: 나는 자연종 인간과 둔 바둑을 이겼다 -로봇종 인간의 의식론 서설
Electromyography Pattern Recognition and Classification using Circular Structure Algorithm	원형 구조 알고리즘을 이용한 근전도 패턴 인식 및 분류
In this paper, we propose a method to detect marine garbage and jellyfish in images.	본 연구에서는 영상에서 해상 쓰레기와 해파리를 검출하는 방법을 제안한다.
A System of Computer Game using Computer Vision Techniques	컴퓨터 시각 기법을 이용한 컴퓨터 게임 시스템
Simultaneous Tracking of Multiple Construction Workers Using Stereo-Vision	다수의 건설인력 위치 추적을 위한 스테레오 비전의 활용
Dual Encryption and real-time intelligent Decryption using Speech and Image Data Keys	음성과 영상 데이터 Key 를 사용한 이중 암호화 및 실시간 지능형 복호화
Effectiveness Analysis of Credit Card Default Risk with Deep Learning Neural Network	딥러닝 신경망을 이용한 신용카드 부도위험 예측의 효용성 분석
3D Skeleton Animation Learning Using CNN	CNN을 이용한 3D 스켈레톤 애니메이션 학습
Recently, as interest in machine learning has increased and research using ML has become active, it is becoming more important to find an optimal hyperparameter combination for various ML models.	최근 기계학습에 대한 관심이 높아지고 연구가 활성화됨에 따라 다양한 기계학습 모델에서 최적의 하이퍼 파라미터 조합을 찾는 것이 중요해지고 있다.
The machine learning is receiving attention as a new method for energy big data analysis and power demand prediction to be more effectively operating a power system.	기계학습은 전력계통을 효율적으로 운영할 수 있도록, 에너지 빅 데이터 분석과 전력수요예측을 위한 방법으로 관심을 받고 있다.
A Phenomenological Study on Machine Design Technicians' Learning Experiences	기계설계 기술자의 학습경험에 관한 현상학적 연구
Increasing Accuracy of Stock Price Pattern Prediction through Data Augmentation for Deep Learning	데이터 증강을 통한 딥러닝 기반 주가 패턴 예측 정확도 향상 방안
A Case Study on Remote Computer Vision Laboratory	원격 컴퓨터 비전 실습 사례연구
Analyzing Impact of Bitcoin Features to Bitcoin Price via Machine Learning Techniques	머신러닝 기술을 사용한 비트코인 특성들의 비트코인 가격에 미친 영향 분석
The determined features were used in the proposed algorithm to calculatethe values for attack detection, and the threshold for determining the calculated values was derived by applying SVM.	결정된 특징은 공격 탐지에 대한 값을 계산하기 위해 제안된 알고리즘에 사용되었으며, 계산된 값을 결정하는 임계값은 SVM을 적용하여 도출되었다.
This paper maintains a neutral standpoint on the first question, and attempts to find its practical possibilities based on the insights contained in David Hume's philosophy on the human nature and the ethical theory, with the answer "yes" on the second question.	이 글은 첫 번째 물음에 대해서는 ‘중립적 입장’을 견지하며, 두 번째 물음에 대해서는 ‘그렇다’는 대답과 함께 그 실제적 가능성을 데이비드 흄의 철학에 담겨 있는 통찰에 기대어 옹호한다.
Determination of the Status and Kind of Fruits according to Color Distribution	색상 분포에 따른 수확기 과일의 상태 및 종류 판별법
Performance Comparison of Machine Learning Algorithms for TAB Digit Recognition	타브 숫자 인식을 위한 기계 학습 알고리즘의 성능 비교
The Facial Motion Capture Algorithm Using Stereo Vision based on Neural Networks	신경회로망 기반의 스테레오 비젼을 이용한 얼굴 모션 캡쳐 알고리즘
We construct linguistic semantic knowledge by using the two techniques and use the knowledge for target word selection in English-Korean machine translation.	본 논문에서는 이들을 사용하여 언어적인 의미 지식(Semantic Knowledge)을 구축하였으며 이 지식은 결국 영한 기계번역에서의 대역어 선택 시 발생하는 중의성을 해소하기 위하여 단어간 의미 유사도를 추정하는데 사용된다.
Multiple Object Tracking with Color-Based Particle Filter for Intelligent Space	공간지능화를 위한 색상기반 파티클 필터를 이용한 다중물체추적
The laser active thermography system observes thermal wave concentrations in the crack while exciting the surface of the weld.	레이저 열화상 시스템은 균열의 열파 집중현상을 관찰하는 동시에 용접 표면을 자극합니다.
Action research on Electric Language Literature teaching using Authoring Tool	저작도구를 활용한 전자말 문학교육 현장 연구
The SVM based reconstruction is used to develop time series forecasts for multiple lead times ranging from the period of two weeks to several months.	SVM을 이용한 비선형 예측모형은 GSL Volume의 2주, 8주와 반복예측까지 적용되었다.
Machine Learning for Supplier Selection Problem	공급업체 선정을 위한 기계학습 방법 응용
In this study, when categories are inferred based on text product data using a deep learning model, both effects of the data preprocessing and of the selection of training data are extensively compared and analyzed.	본 연구에서는 딥 러닝 모델을 사용하여 텍스트 제품 데이터를 기반으로 카테고리가 추론될 때 데이터 전처리 및 학습 데이터 선택 효과를 광범위하게 비교 및 분석한다.
In the field of Natural Language Processing, Various research such as Translation, POS Tagging, Q&A, and Sentiment Analysis are globally being carried out.	자연어 처리 분야에서 번역, 형태소 태깅, 질의응답, 감성 분석등 다양한 영역의 연구가 활발히 진행되고 있다.
Analysis of Trajectory Encoding Methodology Analysis Based on Experimental Evaluation for Deep Learning	딥러닝을 위한 실험적 평가 기반의 이동경로 데이터 인코딩 방법 비교
Computer simulation system for seam tracking of robotic welding using laser vision sensor	레이저 비전센서를 이용한 로봇 용접선 추적 시뮬레이션 시스템에 관한 연구
As the number of malicious code increases steeply, cyber attack victims targeting corporations, public institutions, financial institutions, hospitals are also increasing.	악성코드의 수가 가파르게 증가하면서 기업 및 공공기관, 금융기관, 병·의원 등을 타깃으로 한 사이버 공격 피해사례가 늘어나고 있다.
Artificial Intelligence : Local Path Generation Method for Unmanned Autonomous Vehicles Using Reinforcement Learning	인공지능 : 강화학습을 이용한 무인 자율주행 차량의 지역경로 생성 기법
Rail-Temperature Prediction Model Based on Machine Learning using Weather Forecast	일기 예보를 이용한 기계 학습 기반의 레일 온도 예측 모델 개발
Later, the results of ontology reasoning are revised by CNN inference.	그리고 온톨로지 추론 결과는 CNN을 사용하여 보정한다.
These are three different regimes of thinking around concept, metaphor and operation.	그것은 개념, 은유, 작동을 중심으로 양자를 구분하는 상이한 체제를 의미한다.
User-customized Data Provision System applying Machine Learning	기계학습을 적용한 사용자 맞춤형 데이터 제공 시스템
Panorama Field Rendering based on Depth Estimation	깊이 추정에 기반한 파노라마 필드 렌더링
Vision-based Tracking System for a UAV	UAV 를 위한 비전 기반 추종 시스템
Development of Deep Learning Based Deterioration Prediction Model for the Maintenance Planning of Highway Pavement	도로포장의 유지관리 계획 수립을 위한 딥러닝 기반 열화 예측 모델 개발
Estimation of High Quality Forest Spatial Information through Computer Vision Analysis of Aerial Photograph Images	항공사진영상의 컴퓨터비전 해석을 통한 고품질 산림공간정보 산정
The Development of a Rainfall Correction Technique based on Machine Learning for Hydrological Applications	수문학적 활용을 위한 머신러닝 기반의 강우보정기술 개발
Optimal Machine Learning Model for Detecting Normal and Malicious Android Apps	안드로이드 정상 및 악성 앱 판별을 위한 최적합 머신러닝 기법
we use Faster R-CNN model that shows excellent accuracy rate in deep learning for vehicle detection.	차량 검출을 위해 딥러닝에서 뛰어난 검출률을 나타내는 FasterR-CNN 모델을 사용한다.
Trends in the Studies of Synthetic Patient Records	가상환자 생성 모델 연구의 동향
Research Trend analysis for Seismic Data Interpolation Methods using Machine Learning	머신러닝을 사용한 탄성파 자료 보간법 기술 연구 동향 분석
Bayer Pattern Based Face Detection CNN for Image Sensor	이미지 센서를 위한 Bayer Pattern 기반 Face Detection CNN
Estimation of restaurant visitors using tensorflow LSTM model	텐서플로우 LSTM 모델을 활용한 음식점 방문자수 예측
Edge-based Method for Human Detection in an Image	영상 내 사람의 검출을 위한 에지 기반 방법
LSTM is designed to solve the gradient vanishing problem in RNN, and is used in NLP.	LSTM은 RNN에서 gradient vanishing problem을 해결하고자 고안됐고, NLP 분야에서 유용하게 사용되고 있다.
Creative endeavor in Korean language education strengthens the competitiveness of Korean language education and is a strategy of survival.	한국어 교육에서 창의적인 노력은 한국어 교육의 경쟁력을 강화하는 것이면서 생존의 전략이기도 하다.
Finally, as a result of comparing with the previous image scale reduction method, it was confirmed that the accuracy was improved when analyzed through the proposed method.	마지막으로 과거의 이미지 스케일 축소 방법과 비교한 결과, 제안 방법을 통해 분석했을 때 정확도가 향상된 것을 확인하였다.
Holt-Winters’ additive model, ARIMA model, autoregressive error with seasonal trend model, and long short-term memory neural network model	Winters의 가법계절모형, ARIMA 모형, 계절추세 기반 자기회귀오차모형, Long short-term memory 모형
FCWS Implementation Based on CNN for Embedded Systems	임베디드 환경에서의 CNN 기반 FCWS 시스템 구현
A Predictive Model of the Generator Output Based on the Learning of Performance Data in Power Plant	발전플랜트 성능데이터 학습에 의한 발전기 출력 추정 모델
If this predictive analysis is used, it is better to enter the data that performed feature engineering than to enter the original data when inputting data into the machine learning algorithm.	이러한 예측분석을 머신러닝을 이용할 경우 머신러닝 알고리즘에 데이터를 입력할 때 원본 데이터를 그대로 입력하는 것보다 피처 엔지니어링을 수행한 데이터를 입력하는 것이 성능이 더 좋다.
Space Usage Knowledge Extraction from BIM Data by Decision Tree and Expert System	결정트리와 전문가시스템을 이용한 BIM설계 공간용도 지식화 방안
Development of the Computer Vision based Continuous 3 - D Feature Extraction System via Laser Structured Lighting	제 4 발표장 / 신기술 및 정보처리 분야 : 레이저 구조광을 이용한 3 차원 컴퓨터 시각 형상정보 연속 측정 시스템 개발
A Comparative Study between Stock Price Prediction Models Using Sentiment Analysis and Machine Learning Based on SNS and News Articles	SNS와 뉴스기사의 감성분석과 기계학습을 이용한 주가예측 모형 비교 연구
As a result of executing the proposed CNN attack model on an XMEGA128 experimental board that implemented the AES-128 encryption algorithm, we recovered the secret key with 22.23% accuracy using raw power consumption traces, and obtained 97.93% accuracy using power traces on which we applied the RP processing method.	AES-128 암호화 알고리즘을 구현한 XMEGA128 실험 보드에서 제안된 CNN 공격 모델을 실행한 결과, 원래의 전력 소비 파형을 사용하여 22.23% 정확도로 비밀 키를 복구했으며, RP 처리 방법을 적용한 전력 파형을 사용하여 97.93% 정확도를 얻었다.
Experimental results show the feasibility of presented approach.	실험 결과는 제시된 접근법의 실현 가능성을 보여준다.
Machine-Learning and Corpus-Based Analyses of Korean Nouns from Subjects and Objects: Stimuli Development of Verb Treatment for Neurogenic Communication Disorders	신경언어장애군의 동사 중재 자극 개발을 위한 기계학습 및 빅데이터 기반 한국어의 주격 및 목적격 명사 분석
After dividing the Goldberg machine activities into the steps of planning, production, outcome, assessment and reflection, their analysis results are as follows.	골드버그 장치 활동을 계획, 제작, 결과, 평가 및 반성 단계로 나누어 분석한 결과는 다음과 같다. 
Prediction of Lung Cancer Susceptibility using an Importance Evaluation of SNP Data and SVM Learning	SNP 데이터의 중요도 평가와 SVM 학습법을 이용한 폐암 감수성 예측
Therefore, ANN model using solar radiation and sunshine duration among meteorological variables can be an effective tool for reliable photovoltaic power generation forecasting.	따라서 기상변수 중 일사량과 일조시간을 활용하는 ANN 모델은 신뢰성 있는 태양광 발전량 예측을 위한 효과적인 도구가 될 수 있다.
Evaluating the groundwater prediction using LSTM model	LSTM 모형을 이용한 지하수위 예측 평가
Experimental results show better performance than the existing papers tested with the same test set, and this shows the importance of high quality data.	실험결과 동일한 테스트셋으로 실험한 기존의 한-영 기계번역 관련 논문들보다 좋은 성능을 보임을 알 수 있었으며 이를 통해 고품질 데이터의 중요성을 알 수 있었다.
Moving and non-moving objects segmentation using edges and adaptive thresholding in images	영상내 경계 및 적응 임계값을 이용한 이동 및 정지 물체 분할
The model was developed using Keras, a Python-based deep learning framework, and the NVIDIA CUDA architecture was implemented to enhance the learning speed.	모델의 개발은 Python기반 딥러닝 프레임워크인 Keras를 이용하였고, 학습 속도를 향상시키고자 NVIDIA CUDA 아키텍처를 도입하였다.
Random Forest Classifier for Machine Fault Diagnosis	유도전동기 결함 진단을 위한 랜덤 포레스트 분류기
Effective Reverse Nearest Neighbor Query Processing in Wireless Broadcast Environments	무선 브로드캐스트 환경에서 효율적인 RNN 질의 처리
Pictorial Model of Upper Body based Pose Recognition and Particle Filter Tracking	그림모델과 파티클필터를 이용한 인간 정면 상반신 포즈 인식
Three Ways to Distinguish Life and Machine: Concept, Metaphor and Operation	생명과 기계를 구분하는 세 가지 방식: 개념, 은유, 작동
An Improved Recurrent Neural Equalizer for Digital Communication	개선된 리커런트 신경망을 이용한 등화기
Machine learning-based corporate default risk prediction model verification and policy recommendation: Focusing on improvement through stacking ensemble mode	머신러닝 기반 기업부도위험 예측모델 검증 및 정책적 제언: 스태킹 앙상블 모델을 통한 개선을 중심으로
To solve this problem, there are studies that make up the limitation of low resolution fluid simulation by using deep running.	이 문제를 해결하기 위해 저해상도 유체 시뮬레이션의 한계를 딥 러닝을 사용해 보완하는 연구들이 있다.
The Design of an Educational Environment for Ubicomp Learning	유비쿼터스 컴퓨팅 학습의 교육환경 설계
M. Oakeshott's View of University Education	Michael Oaseshott의 대학교육관
The Effect Analysis of Communication Relay in the Network Centric Operations	네트워크 중심 운용환경에서 통신중계 영향분석
As a result, the volatility movement predicted by AI was significantly similar to the actual volatility value during the same period.	그 결과 인공지능이 예측한 검증 기간의 변동성 움직임이 동 기간의 실제 변동성 값과 매우 유사한 결과를 도출했다.
Object detection models commonly use convolution neural network(CNN) to process a large size of image data.	객체 탐색 모델들은 대용량 이미지를 처리하기 위해 공통적으로 CNN(convolutional neural network)를 사용한다.
Comparison of Audio Event Detection Performance using CNN and CRNN	CNN과 CRNN을 이용한 오디오 이벤트 검출 성능 비교
The result showed an attack classification accuracy close to 70%.	이 결과 70%에 육박하는 공격 분류 정확도를 보였다.
This research focuses on an electricity demand forecasting framework, which is an essential component of an efficient smart grid system.	본 연구는 효율적인 스마트 그리드 시스템을 운용하기 위한 필수 불가결한 요소인 전력수요 예측에 중점을 둔다.
